format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
torchsave,file,4194304,16,15,4096,0,356,0.0
torchsave,file,4096,17,16,1,1344,364610,0.003686
torchsave,file,4096,17,16,16,1344,364610,0.003686
torchsave,file,4096,17,16,256,1344,364610,0.003686
torchsave,file,4096,17,16,4096,1355,364610,0.003716
torchsave,file,65536,17,16,1,82,22788,0.003598
torchsave,file,65536,17,16,16,82,22788,0.003598
torchsave,file,65536,17,16,256,82,22788,0.003598
torchsave,file,65536,17,16,4096,82,22788,0.003598
torchsave,file,1048576,17,16,1,2,1424,0.001404
torchsave,file,1048576,17,16,16,2,1424,0.001404
torchsave,file,1048576,17,16,256,2,1424,0.001404
torchsave,file,1048576,17,16,4096,2,1424,0.001404
torchsave,file,4194304,17,16,1,0,356,0.0
torchsave,file,4194304,17,16,16,0,356,0.0
torchsave,file,4194304,17,16,256,0,356,0.0
torchsave,file,4194304,17,16,4096,0,356,0.0
torchsave,file,4096,18,17,1,1344,364610,0.003686
torchsave,file,4096,18,17,16,1344,364610,0.003686
torchsave,file,4096,18,17,256,1344,364610,0.003686
torchsave,file,4096,18,17,4096,1355,364610,0.003716
torchsave,file,65536,18,17,1,82,22788,0.003598
torchsave,file,65536,18,17,16,82,22788,0.003598
torchsave,file,65536,18,17,256,82,22788,0.003598
torchsave,file,65536,18,17,4096,82,22788,0.003598
torchsave,file,1048576,18,17,1,2,1424,0.001404
torchsave,file,1048576,18,17,16,2,1424,0.001404
torchsave,file,1048576,18,17,256,2,1424,0.001404
torchsave,file,1048576,18,17,4096,2,1424,0.001404
torchsave,file,4194304,18,17,1,0,356,0.0
torchsave,file,4194304,18,17,16,0,356,0.0
torchsave,file,4194304,18,17,256,0,356,0.0
torchsave,file,4194304,18,17,4096,0,356,0.0
torchsave,file,4096,19,18,1,1344,364610,0.003686
torchsave,file,4096,19,18,16,1344,364610,0.003686
torchsave,file,4096,19,18,256,1344,364610,0.003686
torchsave,file,4096,19,18,4096,1355,364610,0.003716
torchsave,file,65536,19,18,1,82,22788,0.003598
torchsave,file,65536,19,18,16,82,22788,0.003598
torchsave,file,65536,19,18,256,82,22788,0.003598
torchsave,file,65536,19,18,4096,82,22788,0.003598
torchsave,file,1048576,19,18,1,2,1424,0.001404
torchsave,file,1048576,19,18,16,2,1424,0.001404
torchsave,file,1048576,19,18,256,2,1424,0.001404
torchsave,file,1048576,19,18,4096,2,1424,0.001404
torchsave,file,4194304,19,18,1,0,356,0.0
torchsave,file,4194304,19,18,16,0,356,0.0
torchsave,file,4194304,19,18,256,0,356,0.0
torchsave,file,4194304,19,18,4096,0,356,0.0
weights,file,4096,1,0,1,0,121534,0.0
weights,file,4096,1,0,16,0,121534,0.0
weights,file,4096,1,0,256,0,121534,0.0
weights,file,4096,1,0,4096,3,121534,2.5e-05
weights,file,65536,1,0,1,0,7595,0.0
weights,file,65536,1,0,16,0,7595,0.0
weights,file,65536,1,0,256,0,7595,0.0
weights,file,65536,1,0,4096,0,7595,0.0
weights,file,1048576,1,0,1,0,474,0.0
weights,file,1048576,1,0,16,0,474,0.0
weights,file,1048576,1,0,256,0,474,0.0
weights,file,1048576,1,0,4096,0,474,0.0
weights,file,4194304,1,0,1,0,118,0.0
weights,file,4194304,1,0,16,0,118,0.0
weights,file,4194304,1,0,256,0,118,0.0
