format,view,chunk_size,step,distance,count
torchsave,file,4096,15,15,1355
torchsave,file,65536,15,15,82
torchsave,file,1048576,15,15,2
torchsave,zipdata,4096,15,15,1344
torchsave,zipdata,65536,15,15,84
torchsave,zipdata,1048576,15,15,4
torchsave,file,4096,16,16,1355
torchsave,file,65536,16,16,82
torchsave,file,1048576,16,16,2
torchsave,zipdata,4096,16,16,1344
torchsave,zipdata,65536,16,16,84
torchsave,zipdata,1048576,16,16,4
torchsave,file,4096,17,17,1355
torchsave,file,65536,17,17,82
torchsave,file,1048576,17,17,2
torchsave,zipdata,4096,17,17,1344
torchsave,zipdata,65536,17,17,84
torchsave,zipdata,1048576,17,17,4
torchsave,file,4096,18,18,1355
torchsave,file,65536,18,18,82
torchsave,file,1048576,18,18,2
torchsave,zipdata,4096,18,18,1344
torchsave,zipdata,65536,18,18,84
torchsave,zipdata,1048576,18,18,4
torchsave,file,4096,19,19,1355
torchsave,file,65536,19,19,82
torchsave,file,1048576,19,19,2
torchsave,zipdata,4096,19,19,1344
torchsave,zipdata,65536,19,19,84
torchsave,zipdata,1048576,19,19,4
weights,file,4096,1,1,3
weights,file,4096,2,2,3
weights,file,4096,3,3,3
weights,file,4096,4,4,3
weights,file,4096,5,5,3
weights,file,4096,6,6,3
weights,file,4096,7,7,3
weights,file,4096,8,8,3
weights,file,4096,9,9,3
weights,file,4096,10,10,3
weights,file,4096,11,11,3
weights,file,4096,12,12,3
weights,file,4096,13,13,3
weights,file,4096,14,14,3
weights,file,4096,15,15,3
weights,file,4096,16,16,3
weights,file,4096,17,17,3
weights,file,4096,18,18,3
weights,file,4096,19,19,3
dcp,file,4096,1,1,1346
dcp,file,65536,1,1,82
dcp,file,1048576,1,1,4
dcp,file,4096,2,2,1346
dcp,file,65536,2,2,82
dcp,file,1048576,2,2,4
dcp,file,4096,3,3,1346
dcp,file,65536,3,3,82
dcp,file,1048576,3,3,4
dcp,file,4096,4,4,1346
dcp,file,65536,4,4,82
dcp,file,1048576,4,4,4
dcp,file,4096,5,5,1346
dcp,file,65536,5,5,82
dcp,file,1048576,5,5,4
dcp,file,4096,6,6,1346
dcp,file,65536,6,6,82
dcp,file,1048576,6,6,4
dcp,file,4096,7,7,1346
dcp,file,65536,7,7,82
dcp,file,1048576,7,7,4
dcp,file,4096,8,8,1346
dcp,file,65536,8,8,82
dcp,file,1048576,8,8,4
dcp,file,4096,9,9,1346
dcp,file,65536,9,9,82
dcp,file,1048576,9,9,4
dcp,file,4096,10,10,1346
dcp,file,65536,10,10,82
dcp,file,1048576,10,10,4
dcp,file,4096,11,11,1346
dcp,file,65536,11,11,82
dcp,file,1048576,11,11,4
dcp,file,4096,12,12,1346
dcp,file,65536,12,12,82
dcp,file,1048576,12,12,4
dcp,file,4096,13,13,1346
dcp,file,65536,13,13,82
dcp,file,1048576,13,13,4
dcp,file,4096,14,14,1346
dcp,file,65536,14,14,82
dcp,file,1048576,14,14,4
dcp,file,4096,15,15,1346
dcp,file,65536,15,15,82
dcp,file,1048576,15,15,4
dcp,file,4096,16,16,1346
dcp,file,65536,16,16,82
dcp,file,1048576,16,16,4
dcp,file,4096,17,17,1346
dcp,file,65536,17,17,82
dcp,file,1048576,17,17,4
dcp,file,4096,18,18,1346
dcp,file,65536,18,18,82
dcp,file,1048576,18,18,4
